"id","sequence","code",name,description,amount,amount_type,"is_group","active"
"stamp_duty_code_1",10,1,"AQUISIÇÃO DE BENS:","Aquisição de bens:","0.0",,"True","True"
"stamp_duty_code_1_1",20,"1.1","Aquisição onerosa ou por doação do direito de propriedade","Aquisição onerosa ou por doação do direito de propriedade ou de figuras parcelares desse direito sobre imóveis, bem como a resolução, invalidade ou extinção, por mútuo consenso, dos respectivos contratos - sobre o valor ","0.8","percentage",,"True"
"stamp_duty_code_1_2",30,"1.2","Aquisição gratuita de bens, incluindo por usucapião","Aquisiçã​o gratuita de bens, incluindo por usucapião, a acrescer, sendo caso disso, à da verba 1.1 sobre o valor","10.0","percentage",,"True"
"stamp_duty_code_2",40,2,Arrendamento e subarrendamento,"Arrendamento e subarrendamento, incluindo as alterações que envolvam aumento de renda operado pela revisão de cláusulas contratuais e a promessa quando seguida da disponibilização do bem locado ao locatário - sobre a renda ou seu aumento convencional, correspondentes a um mês ou, tratando-se de arrendamentos por períodos inferiores a um mês, sem possibilidade de renovação ou prorrogação, sobre o valor da renda ou do aumento estipulado para o período da sua duração","10.0","percentage",,"True"
"stamp_duty_code_3",50,3,Autos e termos efectuados em tribunais e serviços do Estado,"Autos e termos efectuados perante tribunais e serviços, estabelecimentos ou organismos do Estado, Regiões Autónomas e autarquias locais, ainda que personalizados, incluindo os institutos públicos, que compreenderem arrendamento ou licitação de bens imóveis, cessão, conferência de interessados em que se concorde na adjudicação de bens comuns, confissão de dívida, fiança, hipoteca, penhor, responsabilidade por perdas e danos e transacções - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","10.0","fixed",,
"stamp_duty_code_4",60,4,"Cheques de qualquer natureza, passados no território nacional","Cheques de qualquer natureza, passados no território nacional - por cada um ","0.05","fixed",,"True"
"stamp_duty_code_5",70,5,"Comodato - sobre o seu valor, quando exceda 600€","Comodato - sobre o seu valor, quando exceda 600€. (Revogada pela Lei n.º 64-A/2008, de 31 de Dezembro)","0.8","percentage",,
stamp_duty_code_6,80,6,"Depósito civil, qualquer que seja a sua forma","Depósito civil, qualquer que seja a sua forma - sobre o respectivo valor (Revogada pela Lei n.º 64-A/2008, de 31 de Dezembro)","0.5","percentage",,
"stamp_duty_code_7",90,7,Depósito dos estatutos de associações e outras instituições ,"Depósito, em quaisquer serviços públicos, dos estatutos de associações e outras instituições cuja constituição deles dependa - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","50.0","fixed",,
"stamp_duty_code_8",100,8,Escritos de quaisquer contratos não previstos nesta Tabela ,"Escritos de quaisquer contratos não especialmente previstos nesta Tabela, incluindo os efectuados perante entidades públicas - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","5.0","fixed",,
"stamp_duty_code_9",110,9,"Exploração, pesquisa e prospecção de recursos geológicos","Exploração, pesquisa e prospecção de recursos geológicos integrados no domínio público do Estado - por cada contrato administrativo (Revogada pela Lei n.º 64-A/2008, de 31 de Dezembro)","25.0","fixed",,
"stamp_duty_code_10",120,10,"GARANTIAS DAS OBRIGAÇÕES, INDEPEND. DA NATUREZA OU FORMA:","Garantias das obrigações, qualquer que seja a sua natureza ou forma, designadamente o aval, a caução, a garantia bancária autónoma, a fiança, a hipoteca, o penhor e o seguro-caução, salvo quando materialmente acessórias de contratos especialmente tributados na presente Tabela e sejam constituídas simultaneamente com a obrigação garantida, ainda que em instrumento ou título diferente - sobre o respectivo valor, em função do prazo, considerando-se sempre como nova operação a prorrogação do prazo do contrato: ","0.0",,"True","True"
"stamp_duty_code_10_1",130,"10.1","Garantias de prazo inferior a um ano","Garantias de prazo inferior a um ano - por cada mês ou fracção ","0.04","percentage",,"True"
"stamp_duty_code_10_2",140,"10.2","Garantias de prazo igual ou superior a um ano ","Garantias de prazo igual ou superior a um ano ","0.5","percentage",,"True"
"stamp_duty_code_10_3",150,"10.3",Garantias sem prazo ou de prazo >= 5 anos ,"Garantias sem prazo ou de prazo igual ou superior a cinco anos ","0.6","percentage",,"True"
"stamp_duty_code_11",160,11,"JOGO:","Jogo: ","0.0",,"True","True"
"stamp_duty_code_11_1",170,"11.1","APOSTAS DE JOGOS:","Apostas de jogos não sujeitos ao regime dos impostos especiais sobre o jogo, designadamente, as representadas por bilhetes, boletins, cartões, matrizes, rifas ou tômbolas - sobre o respetivo valor: (Redação do Decreto-Lei n.º 66/2015, de 29 de abril)","0.0",,"True","True"
"stamp_duty_code_11_1_1",180,"11.1.1","Apostas mútuas ","Apostas mútuas ","25.0","percentage",,"True"
"stamp_duty_code_11_1_2",190,"11.1.2","Outras apostas ","Outras apostas ","25.0","percentage",,"True"
"stamp_duty_code_11_2",200,"11.2","OS PRÉMIOS DO BINGO (EXCETO ONLINE), DAS RIFAS E DO LOTO:","Os prémios do bingo, com exceção dos prémios do bingo online, de rifas e do jogo do loto, bem como de quaisquer sorteios ou concursos, com exceção dos prémios dos jogos sociais previstos na verba n.º 11.3 da presente Tabela - sobre o valor ilíquido, acrescendo 10 % quando atribuídos em espécie:(*)(Redação da Lei n.º 119/2019, de 18 de setembro)","0.0",,"True","True"
"stamp_duty_code_11_2_1",210,"11.2.1","Do bingo","Do bingo ","25.0","percentage",,"True"
"stamp_duty_code_11_2_2",220,"11.2.2",Dos restantes,"Dos restantes","35.0","percentage",,"True"
"stamp_duty_code_11_3",230,"11.3",Jogos sociais do Estado: incl. no preço de venda da aposta,"Jogos sociais do Estado: incluídos no preço de venda da aposta (Redação dada pela Lei n.º 42/2016, de 28 de dezembro)","4.5","percentage",,"True"
"stamp_duty_code_11_4",240,"11.4",Jogos sociais do Estado: parcela que que exceder € 5.000,"Jogos sociais do Estado: sobre a parcela do prémio que exceder € 5.000 (Redação dada pela Lei n.º 42/2016, de 28 de dezembro)","20.0","percentage",,"True"
"stamp_duty_code_12",250,12,LICENÇAS:,"Licenças: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_12_1",260,"12.1",Para instal. ou exploração de máq. eletrónicas de diversão,"Para instalação ou exploração de máquinas electrónicas de diversão - por cada máquina e sobre o valor da taxa devida pela emissão da licença, no mínimo de €15 (Revogada pela Lei n.º 3-B/2010-28/04)","20.0","percentage",,
"stamp_duty_code_12_2",270,"12.2",Para quaisquer outros jogos legais,"Para quaisquer outros jogos legais - por cada máquina e sobre o valor da taxa devida pela emissão da licença, no mínimo de €15 (Revogada pela Lei n.º 3-B/2010-28/04)","20.0","percentage",,
"stamp_duty_code_12_3",280,"12.3","PARA FUNCIONAMENTO DE ESTABELECIMENTO DE RESTAURAÇÃO E BEBIDAS:","Para funcionamento de estabelecimentos de restauração e bebidas: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_12_3_1",290,"12.3.1","Clubes nocturnos bares e discotecas","Clubes nocturnos e outros estabelecimentos com espaço reservado para dança, designadamente bares e discotecas (Revogada pela Lei n.º 3-B/2010-28/04)","250.0","fixed",,
"stamp_duty_code_12_3_2",300,"12.3.2","Outros estabelecimentos","Outros estabelecimentos (Revogada pela Lei n.º 3-B/2010-28/04)","50.0","fixed",,
"stamp_duty_code_12_4",310,"12.4",Para instal. de máq. automáticas de venda de bens ou serviços,"Para instalação de máquinas automáticas de venda de bens ou serviços em locais de acesso público - por cada máquina (Revogada pela Lei n.º 3-B/2010-28/04)","50.0","fixed",,
"stamp_duty_code_12_5",320,"12.5","OUTRAS LICENÇAS NÃO DESIGNADAS ESPECIALMENTE NESTA TABELA:","Outras licenças não designadas especialmente nesta Tabela, concedidas pelo Estado, Regiões Autónomas e autarquias locais ou qualquer dos seus serviços, estabelecimentos e organismos, ainda que personalizados, compreendidos os institutos públicos - por cada uma: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_12_5_1",330,"12.5.1",Quando seja devido qualquer taxa ou emolumento pela emissão,"Quando seja devido qualquer taxa ou emolumento pela sua emissão - sobre o respectivo valor, no máximo de €3 (Revogada pela Lei n.º 3-B/2010-28/04)","20.0","percentage",,
"stamp_duty_code_12_5_2",340,"12.5.2","Quanto não seja devido qualquer taxa ou emolumento","Quanto não seja devido qualquer taxa ou emolumento (Revogada pela Lei n.º 3-B/2010-28/04)","3.0","fixed",,
"stamp_duty_code_13",350,13,"Livros dos comerciantes","Livros dos comerciantes, obrigatórios nos termos da lei comercial - por cada folha ( Revogada pela Lei n.º 3-B/2010-28/04)","0.5","fixed",,
"stamp_duty_code_14",360,14,"Marcas e patentes","Marcas e patentes - sobre o valor resultante das taxas devidas por todos os registos e diplomas (Revogada pela Lei n.º 64-A/2008, de 31 de Dezembro)","24.0","percentage",,
"stamp_duty_code_15",370,15,"NOTARIADO, ACTOS NOTARIAIS E ATOS PRATIC. POR CONSERVADORES:","Notariado, actos notariais, e actos praticados por conservadores, secretários judiciais, secretários técnicos de justiça e entidades e profissionais com competência para autenticar documentos particulares, independentemente da entidade com competência para a sua prática: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_15_1",380,"15.1","Escrituras, testamentos e afins","Escrituras, excluindo as que tenham por objecto os actos referidos no n.º 26, testamentos e demais instrumentos exarados nos livros de notas dos notários, incluindo os privativos - por cada instrumento (Revogada pela Lei n.º 3-B/2010-28/04)","25.0","fixed",,
"stamp_duty_code_15_2",390,"15.2","Habilitação de herdeiros e de legatários","Habilitação de herdeiros e de legatários - por cada herança aberta (Revogada pela Lei n.º 3-B/2010-28/04)","10.0","fixed",,
"stamp_duty_code_15_3",400,"15.3","Instrumentos de abertura e aprovação de testamentos","Instrumentos de abertura e aprovação de testamentos cerrados e internacionais - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","25.0","fixed",,
"stamp_duty_code_15_4",410,"15.4","PROCURAÇÕES E OUTROS INSTRUMENTOS RELATIVOS A PODERES DE REPRESENTAÇÃO:","Procurações e outros instrumentos relativos à atribuição de poderes de representação voluntária, incluindo os mandatos e substabelecimentos, inclusive, quando conferidos também no interesse do procurador ou de terceiro: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_15_4_1",420,"15.4.1","PROCURAÇÕES E OUTROS INSTRUMENTOS QUE ATRIBUAM PODERES DE REPRESENTAÇÃO VOLUNTÁRIA:","Procurações e outros instrumentos que atribuam poderes de representação voluntária, inclusive, quando conferidos também no interesse do procurador ou de terceiro - por cada um: (Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,"True",
"stamp_duty_code_15_4_1_1",430,"15.4.1.1","Com poderes para gerência comercial","Com poderes para gerência comercial (Revogada pela Lei n.º 3-B/2010-28/04)","30.0","fixed",,
"stamp_duty_code_15_4_1_2",440,"15.4.1.2","Com quaisquer outros poderes","Com quaisquer outros poderes (Revogada pela Lei n.º 3-B/2010-28/04)","5.0","fixed",,
"stamp_duty_code_15_4_2",450,"15.4.2","Substabelecimentos","Substabelecimentos - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","2.0","fixed",,
"stamp_duty_code_15_5",460,"15.5",Registo de docs apresentados aos notários para arquivados,"Registo de documentos apresentados aos notários para ficarem arquivados - por cada registo (Revogada pela Lei n.º 3-B/2010-28/04)","0.8","fixed",,
"stamp_duty_code_15_6",470,"15.6","Testamentos, incluindo as doações por morte","Testamentos, incluindo as doações por morte, quando tenham de produzir efeitos jurídicos - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","25.0","fixed",,
"stamp_duty_code_15_7",480,"15.7","Outros instrumentos notariais avulsos","Outros instrumentos notariais avulsos, não especialmente previstos nesta Tabela - por cada um (Revogada pela Lei n.º 3-B/2010-28/04)","8.0","fixed",,
"stamp_duty_code_15_8",490,"15.8","Doc. partic. autenticado, ou qualquer outro título ou procedim.","Documento particular autenticado, ou qualquer outro título ou procedimento, quando essa forma seja admitida em alternativa à escritura pública - por cada um - (euro) 25.(Revogada pela Lei n.º 3-B/2010-28/04)","0.0",,,
"stamp_duty_code_16",500,16,OPERAÇÕES ADUANEIRAS:,"Operações aduaneiras: (Revogada pela Lei n.º 64-A/2008, de 31 de Dezembro)","0.0",,"True",
"stamp_duty_code_16_1",510,"16.1",Declarações de sujeição de merc. não comun. a um reg. aduaneiro,"Declarações de sujeição de mercadorias não comunitárias a um regime aduaneiro, com excepção do regime de trânsito, feitas por escrito, por processo informático ou, oficiosamente, com base em declaração verbal do interessado - por cada uma","1.5","fixed",,"True"
"stamp_duty_code_16_2",520,"16.2","Venda administrativa de mercadorias","Venda administrativa de mercadorias - por cada guia","1.0","fixed",,"True"
"stamp_duty_code_16_3",530,"16.3","Guia de emolumentos","Guia de emolumentos - por cada uma","1.0","fixed",,"True"
"stamp_duty_code_16_4",540,"16.4","Guia de depósito","Guia de depósito - por cada uma ","1.5","fixed",,"True"
"stamp_duty_code_16_5",550,"16.5","LICENÇAS PARA MOVIMENTO DE EMBARCAÇÕES FORA DO RESPETIVO ANCORADOURO:","Licenças para movimento de embarcações fora do respectivo ancoradouro - por cada uma: ","0.0",,"True","True"
"stamp_duty_code_16_5_1",560,"16.5.1","De cabotagem e de longo curso","De cabotagem e de longo curso","8.0","fixed",,"True"
"stamp_duty_code_16_5_2",570,"16.5.2","De navegação costeira ","De navegação costeira ","1.0","fixed",,"True"
"stamp_duty_code_16_6",580,"16.6","ALVARÁ DE SAÍDA DE EMBARCAÇÕES PARA VIAGEM:","Alvará de saída de embarcações para viagem - por cada um: ","0.0",,"True","True"
"stamp_duty_code_16_6_1",590,"16.6.1","De navegação costeira","De navegação costeira","1.0","fixed",,"True"
"stamp_duty_code_16_6_2",600,"16.6.2",De cabotagem e de longo curso ,"De cabotagem e de longo curso ","8.0","fixed",,"True"
"stamp_duty_code_16_7",610,"16.7",Formul. de tráfego aéreo de saída nos voos com. internac.,"Formulários de tráfego aéreo de saída nos voos comerciais internacionais - por cada um ","8.0","fixed",,"True"
"stamp_duty_code_16_8",620,"16.8",Formul. de tráfego aéreo de saída nos voos com. domésticos,"Formulários de tráfego aéreo de saída nos voos comerciais domésticos - por cada um ","3.0","fixed",,"True"
"stamp_duty_code_16_9",630,"16.9","Outras guias, licenças e formulários não especificados em qualquer verba deste número","Outras guias, licenças e formulários não especificados em qualquer verba deste número - por cada um .","1.5","fixed",,"True"
"stamp_duty_code_17",640,17,"OPERAÇÕES FINANCEIRAS:","Operações financeiras: ","0.0",,"True","True"
"stamp_duty_code_17_1",650,"17.1","PELA UTILIZAÇÃO DE CRÉDITO, MERCADORIAS E OUTROS VALORES:","Pela utilização de crédito, sob a forma de fundos, mercadorias e outros valores, em virtude da concessão de crédito a qualquer título excepto nos casos referidos na verba 17.2, incluindo a cessão de créditos, o factoring e as operações de tesouraria quando envolvam qualquer tipo de financiamento ao cessionário, aderente ou devedor, considerando-se, sempre, como nova concessão de crédito a prorrogação do prazo do contrato - sobre o respectivo valor, em função do prazo: (Redação dada pela Lei nº 12-A/2010, de 30/06) ","0.0",,"True","True"
"stamp_duty_code_17_1_1",660,"17.1.1","Crédito de prazo inferior a um ano","Crédito de prazo inferior a um ano - por cada mês ou fracção","0.04","percentage",,"True"
"stamp_duty_code_17_1_2",670,"17.1.2","Crédito de prazo igual ou superior a um ano ","Crédito de prazo igual ou superior a um ano ","0.5","percentage",,"True"
"stamp_duty_code_17_1_3",680,"17.1.3",Crédito de prazo igual ou superior a cinco anos,"Crédito de prazo igual ou superior a cinco anos","0.6","percentage",,"True"
"stamp_duty_code_17_1_4",690,"17.1.4","Crédito util. como c/ corrente, descob. bancário ou outro","Crédito utilizado sob a forma de conta corrente, descoberto bancário ou qualquer outra forma em que o prazo de utilização não seja determinado ou determinável, sobre a média mensal obtida através da soma dos saldos em dívida apurados diariamente, durante o mês, divididos por 30","0.04","percentage",,"True"
"stamp_duty_code_17_2",700,"17.2","PELA UTILIZAÇÃO DE CRÉDITO A CONSUMIDORES:","Pela utilização de crédito em virtude da concessão de crédito no âmbito de contratos de crédito a consumidores abrangidos pelo Decreto-Lei n.º 133/2009, de 2 de Junho, considerando-se, sempre, como nova concessão de crédito a prorrogação do prazo do contrato - sobre o respectivo valor, em função do prazo: Red.Lei nº 12-A/2010, de 30/06) ","0.0",,"True","True"
"stamp_duty_code_17_2_1",710,"17.2.1","Crédito de prazo inferior a um ano","Crédito de prazo inferior a um ano - por cada mês ou fracção (Redação da Lei n.º 2/2020, de 31 de março)","0.141","percentage",,"True"
"stamp_duty_code_17_2_2",720,"17.2.2","Crédito de prazo igual ou superior a um ano","Crédito de prazo igual ou superior a um ano (Redação da Lei n.º 2/2020, de 31 de março)","1.76","percentage",,"True"
"stamp_duty_code_17_2_3",730,"17.2.3",Crédito de prazo igual ou superior a cinco anos,"Crédito de prazo igual ou superior a cinco anos (Redação da Lei n.º 2/2020, de 31 de março)","1.76","percentage",,"True"
"stamp_duty_code_17_2_4",740,"17.2.4","Crédito util. como c/ corrente, descob. bancário ou outro","Crédito utilizado sob a forma de conta-corrente, descoberto bancário ou qualquer outra forma em que o prazo de utilização não seja determinado ou determinável, sobre a média mensal obtida através da soma dos saldos em dívida apurados diariamente, durante o mês, divididos por 30 (Redação da Lei n.º 2/2020, de 31 de março)","0.141","percentage",,"True"
"stamp_duty_code_17_3",750,"17.3",OPER. REALIZ. POR INTERM. DE INSTIT. DE CRÉDITO OU AFINS:,"Operações realizadas por ou com intermediação de instituições de crédito, sociedades financeiras ou outras entidades a elas legalmente equiparadas e quaisquer outras instituições financeiras - sobre o valor cobrado: Red.Lei nº 12-A/2010, de 30/06 - anterior verba 17.2 ","0.0",,"True","True"
"stamp_duty_code_17_3_1",760,"17.3.1","Juros por desc. letras e bilh. Tesouro, emprést., c/ créd. e créd. sem liq.","Juros por, designadamente, desconto de letras e bilhetes do Tesouro, por empréstimos, por contas de crédito e por crédito sem liquidação ","4.0","percentage",,"True"
"stamp_duty_code_17_3_2",770,"17.3.2","Prémios e juros por letras, saques ou transferências","Prémios e juros por letras tomadas, de letras a receber por conta alheia, de saques emitidos sobre praças nacionais ou de quaisquer transferências","4.0","percentage",,"True"
"stamp_duty_code_17_3_3",780,"17.3.3",Comissões por garantias prestadas,"Comissões por garantias prestadas","3.0","percentage",,"True"
"stamp_duty_code_17_3_4",790,"17.3.4",Outras comissões e contraprestações por serv. financeiros,"Outras comissões e contraprestações por serviços financeiros, incluindo as taxas relativas a operações de pagamento baseadas em cartões (Redação da Lei n.º 7-A/2016, de 30 de março)","4.0","percentage",,"True"
