id,name,name@pt,code,account_type,tag_ids-disabled,reconcile
account_snc_base_receivable,Clientes gerais,Clientes gerais,2111,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_payable,Fornecedores gerais,Fornecedores gerais,2211,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2113,Clientes - empresas subsidiárias,Clientes - empresas subsidiárias,2113,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2114,Clientes - empresas associadas,Clientes - empresas associadas,2114,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2115,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,2115,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2116,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,2116,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2118,Clientes gerais (PoS),Clientes gerais (PoS),2118,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2121,Clientes gerais,Clientes gerais,2121,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2122,Clientes - empresa-mãe,Clientes - empresa-mãe,2122,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2123,Clientes - empresas subsidiárias,Clientes - empresas subsidiárias,2123,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2124,Clientes - empresas associadas,Clientes - empresas associadas,2124,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2125,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,2125,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_2126,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,2126,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_217,Clientes de cobrança duvidosa,Clientes de cobrança duvidosa,217,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_218,Adiantamentos de clientes,Adiantamentos de clientes,218,liability_current,account.tag_cfc_a00301,False
account_snc_base_21911,Clientes gerais,Clientes gerais,21911,asset_current,,False
account_snc_base_21912,Clientes - empresa-mãe,Clientes - empresa-mãe,21912,asset_current,,False
account_snc_base_21913,Clientes - empresas subsidiárias,Clientes - empresas subsidiárias,21913,asset_current,,False
account_snc_base_21914,Clientes - empresas associadas,Clientes - empresas associadas,21914,asset_current,,False
account_snc_base_21915,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,21915,asset_current,,False
account_snc_base_21916,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,21916,asset_current,,False
account_snc_base_21921,Clientes gerais,Clientes gerais,21921,asset_current,,False
account_snc_base_21922,Clientes - empresa-mãe,Clientes - empresa-mãe,21922,asset_current,,False
account_snc_base_21923,Clientes - empresas subsidiárias,Clientes - empresas subsidiárias,21923,asset_current,,False
account_snc_base_21924,Clientes - empresas associadas,Clientes - empresas associadas,21924,asset_current,,False
account_snc_base_21925,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,21925,asset_current,,False
account_snc_base_21926,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,21926,asset_current,,False
account_snc_base_2198,Outros clientes,Outros clientes,2198,asset_current,,False
account_snc_base_2212,Fornecedores - empresa-mãe,Fornecedores - empresa-mãe,2212,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2213,Fornecedores - empresas subsidiárias,Fornecedores - empresas subsidiárias,2213,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2214,Fornecedores - empresas associadas,Fornecedores - empresas associadas,2214,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2215,Fornecedores - empreendimentos conjuntos,Fornecedores - empreendimentos conjuntos,2215,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2216,Fornecedores - outras partes relacionadas,Fornecedores - outras partes relacionadas,2216,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2221,Fornecedores gerais,Fornecedores gerais,2221,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2222,Fornecedores - empresa-mãe,Fornecedores - empresa-mãe,2222,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2223,Fornecedores - empresas subsidiárias,Fornecedores - empresas subsidiárias,2223,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2224,Fornecedores - empresas associadas,Fornecedores - empresas associadas,2224,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2225,Fornecedores - empreendimentos conjuntos,Fornecedores - empreendimentos conjuntos,2225,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2226,Fornecedores - outras partes relacionadas,Fornecedores - outras partes relacionadas,2226,liability_payable,account.tag_cfc_a00302,True
account_snc_base_2112,Clientes - empresa-mãe,Clientes - empresa-mãe,2112,asset_receivable,account.tag_cfc_a00301,True
account_snc_base_23711,Corrente,Corrente,23711,liability_current,account.tag_cfc_a00306,False
account_snc_base_23712,Não Corrente,Não Corrente,23712,liability_non_current,account.tag_cfc_a00306,False
account_snc_base_23721,Corrente,Corrente,23721,liability_current,account.tag_cfc_a00306,False
account_snc_base_23722,Não Corrente,Não Corrente,23722,liability_non_current,account.tag_cfc_a00306,False
account_snc_base_23911,Aos órgãos sociais,Aos órgãos sociais,23911,asset_current,,False
account_snc_base_23912,Ao pessoal,Ao pessoal,23912,asset_current,,False
account_snc_base_239211,Corrente,Corrente,239211,asset_current,,False
account_snc_base_239212,Não Corrente,Não Corrente,239212,asset_non_current,,False
account_snc_base_239221,Corrente,Corrente,239221,asset_current,,False
account_snc_base_239222,Não Corrente,Não Corrente,239222,asset_non_current,,False
account_snc_base_2411,Pagamento por conta,Pagamento por conta,2411,liability_current,account.tag_cfc_a00305,False
account_snc_base_2412,Pagamento especial por conta,Pagamento especial por conta,2412,liability_current,account.tag_cfc_a00305,False
account_snc_base_2413,Derrama,Derrama,2413,liability_current,account.tag_cfc_a00305,False
account_snc_base_2414,Retenções na fonte efetuadas por terceiros,Retenções na fonte efetuadas por terceiros,2414,liability_current,account.tag_cfc_a00305,False
