id,name,name@pt,code,account_type,tag_ids-disabled,reconcile
account_snc_common_131,Depósitos a prazo,Depósitos a prazo,131,asset_current,account.tag_cfc_a00306,False
account_snc_common_1411,Potencialmente favoráveis,Potencialmente favoráveis,1411,asset_current,"account.tag_cfc_a00310,account.tag_cfc_a00314",False
account_snc_common_1412,Potencialmente desfavoráveis,Potencialmente desfavoráveis,1412,liability_current,account.tag_cfc_a00314,False
account_snc_common_1421,Ativos financeiros,Ativos financeiros,1421,asset_current,"account.tag_cfc_a00310,account.tag_cfc_a00314",False
account_snc_common_1422,Passivos financeiros,Passivos financeiros,1422,liability_current,account.tag_cfc_a00314,False
account_snc_common_1431,Outros ativos financeiros,Outros ativos financeiros,1431,asset_current,"account.tag_cfc_a00310,account.tag_cfc_a00314",False
account_snc_common_1432,Outros passivos financeiros,Outros passivos financeiros,1432,liability_current,account.tag_cfc_a00314,False
account_snc_common_225,Faturas em receção e conferência,Faturas em receção e conferência,225,liability_current,account.tag_cfc_a00302,False
account_snc_common_228,Adiantamentos a fornecedores,Adiantamentos a fornecedores,228,asset_current,account.tag_cfc_a00302,False
account_snc_common_229,Perdas por imparidade acumuladas,Perdas por imparidade acumuladas,229,asset_current,,False
account_snc_common_2311,Aos órgãos sociais,Aos órgãos sociais,2311,liability_current,account.tag_cfc_a00303,True
account_snc_common_2312,Ao pessoal,Ao pessoal,2312,liability_current,account.tag_cfc_a00303,True
account_snc_common_2321,Aos órgãos sociais,Aos órgãos sociais,2321,asset_current,account.tag_cfc_a00306,False
account_snc_common_2322,Ao pessoal,Ao pessoal,2322,asset_current,account.tag_cfc_a00306,False
account_snc_common_23811,Corrente,Corrente,23811,asset_current,account.tag_cfc_a00306,False
account_snc_common_23812,Não Corrente,Não Corrente,23812,asset_non_current,account.tag_cfc_a00306,False
account_snc_common_23821,Corrente,Corrente,23821,asset_current,account.tag_cfc_a00306,False
account_snc_common_23822,Não Corrente,Não Corrente,23822,asset_non_current,account.tag_cfc_a00306,False
account_snc_common_242,Retenção de impostos sobre rendimentos,Retenção de impostos sobre rendimentos,242,liability_current,account.tag_cfc_a00306,True
account_snc_common_2431,IVA - Suportado,IVA - Suportado,2431,asset_current,account.tag_cfc_a00306,False
account_snc_common_2432,IVA - Dedutível,IVA - Dedutível,2432,asset_current,account.tag_cfc_a00306,False
account_snc_common_2433,IVA - Liquidado,IVA - Liquidado,2433,liability_current,account.tag_cfc_a00306,False
account_snc_common_2434,IVA - Regularizações,IVA - Regularizações,2434,liability_current,account.tag_cfc_a00306,False
account_snc_common_2435,IVA - Apuramento,IVA - Apuramento,2435,liability_current,account.tag_cfc_a00306,False
account_snc_common_2436,IVA - A pagar,IVA - A pagar,2436,liability_current,account.tag_cfc_a00306,True
account_snc_common_2437,IVA - A recuperar,IVA - A recuperar,2437,asset_current,account.tag_cfc_a00306,False
account_snc_common_2438,IVA - Reembolsos pedidos,IVA - Reembolsos pedidos,2438,asset_current,account.tag_cfc_a00306,True
account_snc_common_2439,IVA - Liquidações oficiosas,IVA - Liquidações oficiosas,2439,liability_current,account.tag_cfc_a00306,True
account_snc_common_244,Outros impostos,Outros impostos,244,liability_current,account.tag_cfc_a00306,False
account_snc_common_245,Contribuições para a Segurança Social,Contribuições para a Segurança Social,245,liability_current,account.tag_cfc_a00306,True
account_snc_common_246,Tributos das autarquias locais,Tributos das autarquias locais,246,liability_current,account.tag_cfc_a00306,False
account_snc_common_2481,FCT e FGCT,FCT e FGCT,2481,liability_current,account.tag_cfc_a00306,True
account_snc_common_25111,Corrente,Corrente,25111,liability_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_25112,Não Corrente,Não Corrente,25112,liability_non_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_25121,Corrente,Corrente,25121,liability_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_25122,Não Corrente,Não Corrente,25122,liability_non_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_25131,Corrente,Corrente,25131,liability_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_25132,Não Corrente,Não Corrente,25132,liability_non_current,"account.tag_cfc_a00320,account.tag_cfc_a00325",False
account_snc_common_27111,Corrente,Corrente,27111,liability_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",True
account_snc_common_27112,Não Corrente,Não Corrente,27112,liability_non_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",True
account_snc_common_27121,Corrente,Corrente,27121,liability_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",False
account_snc_common_27122,Não Corrente,Não Corrente,27122,liability_non_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",False
account_snc_common_27131,Corrente,Corrente,27131,liability_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",False
account_snc_common_27132,Não Corrente,Não Corrente,27132,liability_non_current,"account.tag_cfc_a00308,account.tag_cfc_a00312",False
account_snc_common_2721,Devedores por acréscimos de rendimentos,Devedores por acréscimos de rendimentos,2721,asset_current,,False
account_snc_common_2722,Credores por acréscimos de gastos,Credores por acréscimos de gastos,2722,liability_current,,False
account_snc_common_276,Adiantamentos por conta de vendas,Adiantamentos por conta de vendas,276,liability_current,account.tag_cfc_a00301,False
account_snc_common_27811,Outros devedores,Outros devedores,27811,asset_receivable,account.tag_cfc_a00306,True
account_snc_common_278121,Outros credores,Outros credores,278121,liability_payable,account.tag_cfc_a00306,True
account_snc_common_278129,Retenção no pagamento de impostos sobre rendimentos,Retenção no pagamento de impostos sobre rendimentos,278129,liability_current,account.tag_cfc_a00306,True
account_snc_common_27821,Outros devedores,Outros devedores,27821,asset_receivable,account.tag_cfc_a00306,True
account_snc_common_27822,Outros credores,Outros credores,27822,liability_payable,account.tag_cfc_a00306,True
account_snc_common_281,Gastos a reconhecer,Gastos a reconhecer,281,asset_current,,False
account_snc_common_282,Rendimentos a reconhecer,Rendimentos a reconhecer,282,liability_current,,False
account_snc_common_291,Impostos,Impostos,291,liability_current,,False
account_snc_common_292,Garantias a clientes,Garantias a clientes,292,liability_current,,False
account_snc_common_293,Processos judiciais em curso,Processos judiciais em curso,293,liability_current,,False
account_snc_common_294,Acidentes de trabalho e doenças profissionais,Acidentes de trabalho e doenças profissionais,294,liability_current,,False
account_snc_common_311,Mercadorias,Mercadorias,311,expense,account.tag_cfc_a00302,False
account_snc_common_321,Mercadorias em armazém,Mercadorias em armazém,321,asset_current,,False
account_snc_common_325,Mercadorias em trânsito,Mercadorias em trânsito,325,asset_current,,False
account_snc_common_326,Mercadorias em poder de terceiros,Mercadorias em poder de terceiros,326,asset_current,,False
account_snc_common_331,Matérias-primas,Matérias-primas,331,asset_current,,False
account_snc_common_332,Matérias subsidiárias,Matérias subsidiárias,332,asset_current,,False
account_snc_common_333,Embalagens,Embalagens,333,asset_current,,False
account_snc_common_334,Materiais diversos,Materiais diversos,334,asset_current,,False
account_snc_common_335,Matérias em trânsito,Matérias em trânsito,335,asset_current,,False
account_snc_common_351,Subprodutos,Subprodutos,351,asset_current,,False
