id,name,name@pt,code,account_type,reconcile
account_snc_esnl_receivable,Clientes gerais,Clientes gerais,2111,asset_receivable,True
account_snc_esnl_payable,Fornecedores gerais,Fornecedores gerais,2211,liability_payable,True
account_snc_esnl_2112,Clientes - entidade-mãe,Clientes - entidade-mãe,2112,asset_receivable,True
account_snc_esnl_2113,Clientes - entidades subsidiárias,Clientes - entidades subsidiárias,2113,asset_receivable,True
account_snc_esnl_2114,Clientes - entidades associadas,Clientes - entidades associadas,2114,asset_receivable,True
account_snc_esnl_2115,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,2115,asset_receivable,True
account_snc_esnl_2116,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,2116,asset_receivable,True
account_snc_esnl_2117,Utentes,Utentes,2117,asset_receivable,True
account_snc_esnl_2118,Clientes gerais (PoS),Clientes gerais (PoS),2118,asset_receivable,True
account_snc_esnl_2121,Clientes gerais,Clientes gerais,2121,asset_receivable,True
account_snc_esnl_2122,Clientes - entidade-mãe,Clientes - entidade-mãe,2122,asset_receivable,True
account_snc_esnl_2123,Clientes - entidades subsidiárias,Clientes - entidades subsidiárias,2123,asset_receivable,True
account_snc_esnl_2124,Clientes - entidades associadas,Clientes - entidades associadas,2124,asset_receivable,True
account_snc_esnl_2125,Clientes - empreendimentos conjuntos,Clientes - empreendimentos conjuntos,2125,asset_receivable,True
account_snc_esnl_2126,Clientes - outras partes relacionadas,Clientes - outras partes relacionadas,2126,asset_receivable,True
account_snc_esnl_2127,Utentes,Utentes,2127,asset_receivable,True
account_snc_esnl_218,Adiantamentos de clientes e utentes,Adiantamentos de clientes e utentes,218,liability_current,False
account_snc_esnl_219,Perdas por imparidade acumuladas,Perdas por imparidade acumuladas,219,asset_current,False
account_snc_esnl_2212,Fornecedores - empresa-mãe,Fornecedores - empresa-mãe,2212,liability_payable,True
account_snc_esnl_2213,Fornecedores - empresas subsidiárias,Fornecedores - empresas subsidiárias,2213,liability_payable,True
account_snc_esnl_2214,Fornecedores - empresas associadas,Fornecedores - empresas associadas,2214,liability_payable,True
account_snc_esnl_2215,Fornecedores - empreendimentos conjuntos,Fornecedores - empreendimentos conjuntos,2215,liability_payable,True
account_snc_esnl_2216,Fornecedores - outras partes relacionadas,Fornecedores - outras partes relacionadas,2216,liability_payable,True
account_snc_esnl_2221,Fornecedores gerais,Fornecedores gerais,2221,liability_payable,True
account_snc_esnl_2222,Fornecedores - empresa-mãe,Fornecedores - empresa-mãe,2222,liability_payable,True
account_snc_esnl_2223,Fornecedores - empresas subsidiárias,Fornecedores - empresas subsidiárias,2223,liability_payable,True
account_snc_esnl_2224,Fornecedores - empresas associadas,Fornecedores - empresas associadas,2224,liability_payable,True
account_snc_esnl_2225,Fornecedores - empreendimentos conjuntos,Fornecedores - empreendimentos conjuntos,2225,liability_payable,True
account_snc_esnl_2226,Fornecedores - outras partes relacionadas,Fornecedores - outras partes relacionadas,2226,liability_payable,True
account_snc_esnl_23711,Corrente,Corrente,23711,liability_current,False
account_snc_esnl_23712,Não Corrente,Não Corrente,23712,liability_non_current,False
account_snc_esnl_23721,Corrente,Corrente,23721,liability_current,False
account_snc_esnl_23722,Não Corrente,Não Corrente,23722,liability_non_current,False
account_snc_esnl_241,Imposto sobre o rendimento,Imposto sobre o rendimento,241,liability_current,False
account_snc_esnl_25211,Corrente,Corrente,25211,liability_current,False
account_snc_esnl_25212,Não Corrente,Não Corrente,25212,liability_non_current,False
account_snc_esnl_25311,Corrente,Corrente,25311,liability_current,False
account_snc_esnl_25312,Não Corrente,Não Corrente,25312,liability_non_current,False
account_snc_esnl_25321,Corrente,Corrente,25321,liability_current,False
account_snc_esnl_25322,Não Corrente,Não Corrente,25322,liability_non_current,False
account_snc_esnl_2541,Corrente,Corrente,2541,liability_current,False
account_snc_esnl_2542,Não Corrente,Não Corrente,2542,liability_non_current,False
account_snc_esnl_2551,Corrente,Corrente,2551,liability_current,False
account_snc_esnl_2552,Não Corrente,Não Corrente,2552,liability_non_current,False
account_snc_esnl_2581,Corrente,Corrente,2581,liability_current,False
account_snc_esnl_2582,Não Corrente,Não Corrente,2582,liability_non_current,False
