id,name,name@pt,code,account_type,reconcile
account_snc_micro_receivable,Clientes c/c,Clientes c/c,211,asset_receivable,True
account_snc_micro_payable,Fornecedores c/c,Fornecedores c/c,221,liability_payable,True
account_snc_micro_212,Clientes - títulos a receber,Clientes - títulos a receber,212,asset_receivable,True
account_snc_micro_213,Clientes c/c (PoS),Clientes c/c (PoS),213,asset_receivable,True
account_snc_micro_217,Clientes de cobrança duvidosa,Clientes de cobrança duvidosa,217,asset_receivable,True
account_snc_micro_218,Adiantamentos de clientes,Adiantamentos de clientes,218,liability_current,
account_snc_micro_2191,Clientes c/c ,Clientes c/c ,2191,asset_current,
account_snc_micro_2192,Clientes - títulos a receber,Clientes - títulos a receber,2192,asset_current,
account_snc_micro_2198,Outros clientes,Outros clientes,2198,asset_current,
account_snc_micro_222,Fornecedores - títulos a pagar,Fornecedores - títulos a pagar,222,liability_payable,True
account_snc_micro_23911,Aos órgãos sociais,Aos órgãos sociais,23911,asset_current,
account_snc_micro_23912,Ao pessoal,Ao pessoal,23912,asset_current,
account_snc_micro_239211,Corrente,Corrente,239211,asset_current,
account_snc_micro_239212,Não Corrente,Não Corrente,239212,asset_non_current,
account_snc_micro_239221,Corrente,Corrente,239221,asset_current,
account_snc_micro_239222,Não Corrente,Não Corrente,239222,asset_non_current,
account_snc_micro_2411,Pagamento por conta,Pagamento por conta,2411,liability_current,
account_snc_micro_2412,Pagamento especial por conta,Pagamento especial por conta,2412,liability_current,
account_snc_micro_2413,Derrama,Derrama,2413,liability_current,
account_snc_micro_2414,Retenções na fonte efetuadas por terceiros,Retenções na fonte efetuadas por terceiros,2414,liability_current,
account_snc_micro_2415,Imposto estimado,Imposto estimado,2415,liability_current,
account_snc_micro_2416,Imposto apuramento,Imposto apuramento,2416,liability_current,
account_snc_micro_2417,Imposto a pagar,Imposto a pagar,2417,liability_current,True
account_snc_micro_2418,Imposto a recuperar,Imposto a recuperar,2418,liability_current,True
account_snc_micro_262,Quotas não liberadas,Quotas não liberadas,262,asset_current,
account_snc_micro_263,Adiantamentos por conta de lucros,Adiantamentos por conta de lucros,263,asset_current,
account_snc_micro_264,Resultados atribuídos,Resultados atribuídos,264,asset_current,
account_snc_micro_265,Lucros disponíveis,Lucros disponíveis,265,asset_current,
account_snc_micro_2681,Corrente,Corrente,2681,liability_current,
account_snc_micro_2682,Não Corrente,Não Corrente,2682,liability_non_current,
account_snc_micro_2692,Quotas não liberadas,Quotas não liberadas,2692,asset_current,
account_snc_micro_2693,Adiantamentos por conta de lucros,Adiantamentos por conta de lucros,2693,asset_current,
account_snc_micro_2694,Resultados atribuídos,Resultados atribuídos,2694,asset_current,
account_snc_micro_2695,Lucros disponíveis,Lucros disponíveis,2695,asset_current,
account_snc_micro_26981,Corrente,Corrente,26981,asset_current,
account_snc_micro_26982,Não Corrente,Não Corrente,26982,asset_non_current,
account_snc_micro_279131,Corrente,Corrente,279131,asset_current,
account_snc_micro_279132,Não Corrente,Não Corrente,279132,asset_non_current,
account_snc_micro_27921,Devedores por acréscimos de rendimentos,Devedores por acréscimos de rendimentos,27921,asset_current,
account_snc_micro_279811,Outros devedores,Outros devedores,279811,asset_current,
account_snc_micro_279812,Outros credores,Outros credores,279812,asset_current,
account_snc_micro_279821,Outros devedores,Outros devedores,279821,asset_non_current,
account_snc_micro_279822,Outros credores,Outros credores,279822,asset_non_current,
account_snc_micro_298,Outras provisões,Outras provisões,298,liability_current,
account_snc_micro_3121,Matérias-primas,Matérias-primas,3121,expense,
account_snc_micro_3122,Matérias subsidiárias,Matérias subsidiárias,3122,expense,
account_snc_micro_3123,Embalagens,Embalagens,3123,expense,
account_snc_micro_3124,Materiais diversos,Materiais diversos,3124,expense,
account_snc_micro_3171,Mercadorias,Mercadorias,3171,expense,
account_snc_micro_31721,Matérias-primas,Matérias-primas,31721,expense,
account_snc_micro_31722,Matérias subsidiárias,Matérias subsidiárias,31722,expense,
account_snc_micro_31723,Embalagens,Embalagens,31723,expense,
account_snc_micro_31724,Materiais diversos,Materiais diversos,31724,expense,
account_snc_micro_3181,Mercadorias,Mercadorias,3181,expense,
account_snc_micro_31821,Matérias-primas,Matérias-primas,31821,expense,
account_snc_micro_31822,Matérias subsidiárias,Matérias subsidiárias,31822,expense,
account_snc_micro_31823,Embalagens,Embalagens,31823,expense,
account_snc_micro_31824,Materiais diversos,Materiais diversos,31824,expense,
account_snc_micro_3291,Mercadorias em armazém,Mercadorias em armazém,3291,asset_current,
account_snc_micro_3295,Mercadorias em trânsito,Mercadorias em trânsito,3295,asset_current,
account_snc_micro_3296,Mercadorias em poder de terceiros,Mercadorias em poder de terceiros,3296,asset_current,
