id,code_prefix_start,name
account_group_14,14,Outros instrumentos financeiros
account_group_211,211,Clientes c/c
account_group_212,212,Clientes - títulos a receber
account_group_2191,2191,Clientes c/c
account_group_2192,2192,Clientes - títulos a receber
account_group_221,221,Fornecedores c/c
account_group_222,222,Fornecedores - títulos a pagar
account_group_237,237,Cauções
account_group_2371,2371,Dos órgãos sociais
account_group_2372,2372,Do pessoal
account_group_2514,2514,Outros financiamentos
account_group_25141,25141,Outros financiamentos - (CORRENTE)
account_group_2517,2517,Financiamentos obtidos - Instituições de crédito e sociedades financeiras – Outros financiamentos
account_group_25171,25171,Outros financiamentos - (CORRENTE)
account_group_252,252,Mercado de valores mobiliários
account_group_2521,2521,Empréstimos por obrigações
account_group_253,253,Participantes de capital
account_group_2531,2531,Participantes de capital - Empresa-mãe - Suprimentos e outros mútuos
account_group_2532,2532,Participantes de capital - Outros participantes - Suprimentos e outros mútuos
account_group_254,254,"Subsidiárias, associadas e empreendimentos conjuntos"
account_group_258,258,Financiamentos obtidos - Outros financiadores
account_group_266,266,Empréstimos concedidos - empresa-mãe
account_group_268,268,Acionistas/sócios - Outras operações
account_group_2696,2696,Empréstimos concedidos - empresa-mãe
account_group_274,274,Impostos diferidos
account_group_275,275,Outras contas a receber e a pagar - Credores por subscrições não liberadas
account_group_2781,2781,Outros devedores e credores - Corrente
account_group_2782,2782,Outros devedores e credores - Não Corrente
account_group_2793,2793,Impostos diferidos
account_group_27981,27981,Outros devedores e credores - Corrente
account_group_27982,27982,Outros devedores e credores - Não Corrente
account_group_3,3,INVENTÁRIOS E ATIVOS BIOLÓGICOS
account_group_313,313,Ativos biológicos
account_group_3173,3173,Ativos biológicos
account_group_3183,3183,Ativos biológicos
account_group_329,329,Mercadorias - Perdas por imparidade acumuladas
account_group_3491,3491,Perdas por imparidade acumuladas - Produtos acabados e intermédios
account_group_3496,3496,Perdas por imparidade acumuladas - Produtos em poder de terceiros
account_group_3591,3591,"Subprodutos, desperdícios e refugo"
account_group_369,369,Perdas por imparidade acumuladas
account_group_371,371,Ativos biológicos - Consumíveis
account_group_372,372,Ativos biológicos - De produção
account_group_378,378,Ativos biológicos - Depreciações acumuladas
account_group_379,379,Ativos biológicos - Perdas por imparidade acumuladas
account_group_38,38,Reclassificação e regularização de inventários e ativos biológicos
account_group_383,383,"Matérias -primas, subsidiárias e de consumo"
account_group_3871,3871,Reclassificação e regularização de inventários e ativos biológicos - Ativos biológicos – Consumíveis
account_group_3872,3872,Reclassificação e regularização de inventários e ativos biológicos - Ativos biológicos – Produção
account_group_392,392,"Matérias -primas, subsidiárias e de consumo"
account_group_411,411,Investimentos em subsidiárias
account_group_4111,4111,Investimentos em subsidiárias - Participações de capital - método da equivalência patrimonial
account_group_412,412,Investimentos em associadas
account_group_4121,4121,Participações de capital - método da equivalência patrimonial
account_group_413,413,Investimentos em entidades conjuntamente controladas
account_group_4131,4131,Participações de capital - método da equivalência patrimonial
account_group_415,415,Outros investimentos financeiros
account_group_4158,4158,Outros
account_group_418,418,Amortizações acumuladas
account_group_4181,4181,Investimentos em subsidiárias - Participações de capital — método da equivalência patrimonial
account_group_4182,4182,Investimentos em associadas - Participações de capital — método da equivalência patrimonial
