id,code_prefix_start,name
account_group_1,1,MEIOS FINANCEIROS LÍQUIDOS
account_group_11,11,Caixa
account_group_12,12,Depósitos à ordem
account_group_13,13,Outros depósitos bancários
account_group_141,141,Derivados
account_group_142,142,Instrumentos financeiros detidos para negociação
account_group_143,143,Outros ativos e passivos financeiros
account_group_2,2,CONTAS A RECEBER E A PAGAR
account_group_21,21,Clientes
account_group_219,219,Perdas por imparidade acumuladas
account_group_22,22,Fornecedores
account_group_23,23,Pessoal
account_group_231,231,Remunerações a pagar
account_group_232,232,Adiantamentos
account_group_238,238,Outras operações
account_group_2381,2381,Com os órgãos sociais
account_group_2382,2382,Com o pessoal
account_group_239,239,Perdas por imparidade acumuladas
account_group_2391,2391,Adiantamentos
account_group_2392,2392,Outras operações
account_group_23921,23921,Com os órgãos sociais
account_group_23922,23922,Com o pessoal
account_group_24,24,Estado e outros entes públicos
account_group_241,241,Imposto sobre o rendimento
account_group_243,243,Imposto sobre o valor acrescentado (IVA)
account_group_248,248,Outras tributações
account_group_25,25,Financiamentos obtidos
account_group_251,251,Instituições de crédito e sociedades financeiras
account_group_2511,2511,Empréstimos bancários
account_group_2512,2512,Descobertos bancários
account_group_2513,2513,Locações financeiras
account_group_26,26,Acionistas/sócios
account_group_269,269,Perdas por imparidade acumuladas
account_group_2698,2698,Outras operações
account_group_27,27,Outras contas a receber e a pagar
account_group_271,271,Fornecedores de investimentos
account_group_2711,2711,Fornecedores de investimentos - contas gerais
account_group_2712,2712,Facturas em receção e conferência
account_group_2713,2713,Adiantamentos a fornecedores de investimentos
account_group_272,272,Devedores e credores por acréscimos (periodização económica)
account_group_278,278,Outros devedores e credores
account_group_279,279,Perdas por imparidade acumuladas
account_group_2791,2791,Fornecedores de investimentos
account_group_27913,27913,Adiantamentos a fornecedores de investimentos
account_group_2792,2792,Devedores e credores por acréscimos (periodização económica)
account_group_28,28,Diferimentos
account_group_29,29,Provisões
account_group_31,31,Compras
account_group_312,312,"Matérias-primas, subsidiárias e de consumo"
account_group_317,317,Devoluções de compras
account_group_3172,3172,"Matérias-primas, subsidiárias e de consumo"
account_group_318,318,Descontos e abatimentos em compras
account_group_3182,3182,"Matérias-primas, subsidiárias e de consumo"
account_group_32,32,Mercadorias
account_group_33,33,"Matérias-primas, subsidiárias e de consumo"
account_group_339,339,Perdas por imparidade acumuladas
account_group_34,34,Produtos acabados e intermédios
account_group_346,346,Produtos em poder de terceiros
account_group_349,349,Perdas por imparidade acumuladas
account_group_35,35,"Subprodutos, desperdícios, resíduos e refugos"
account_group_359,359,Perdas por imparidade acumuladas
account_group_36,36,Produtos e trabalhos em curso
account_group_382,382,Mercadorias
account_group_384,384,Produtos acabados e intermédios
account_group_385,385,"Subprodutos, desperdícios, resíduos e refugos"
account_group_39,39,Adiantamentos por conta de compras
account_group_4,4,INVESTIMENTOS
account_group_41,41,Investimentos financeiros
account_group_414,414,Investimentos noutras empresas
account_group_419,419,Perdas por imparidade acumuladas
account_group_43,43,Ativos fixos tangíveis
account_group_438,438,Depreciações acumuladas
account_group_44,44,Ativos intangíveis
account_group_448,448,Amortizações acumuladas
account_group_45,45,Investimentos em curso
account_group_455,455,Adiantamentos por conta de investimentos
account_group_5,5,"CAPITAL, RESERVAS E RESULTADOS"
account_group_51,51,Capital subscrito
account_group_52,52,Ações (quotas) próprias
account_group_53,53,Outros instrumentos de capital próprio
account_group_55,55,Reservas
account_group_56,56,Resultados transitados
account_group_59,59,Outras variações no capital próprio
account_group_593,593,Subsídios
account_group_6,6,GASTOS
account_group_61,61,Custo dos inventários vendidos e das matérias consumidas
account_group_612,612,"Matérias-primas, subsidiárias e de consumo"
account_group_62,62,Fornecimentos e serviços externos
account_group_622,622,Serviços especializados
account_group_6221,6221,Trabalhos especializados
account_group_623,623,Materiais
account_group_624,624,Energia e fluidos
account_group_625,625,"Deslocações, estadas e transportes"
account_group_626,626,Serviços diversos
account_group_6261,6261,Rendas e alugueres
account_group_62612,62612,Rendas de Terrenos
account_group_63,63,Gastos com o pessoal
account_group_64,64,Gastos de depreciação e de amortização
account_group_642,642,Ativos fixos tangíveis
