id,code_prefix_start,name
account_group_242,242,Retenção de impostos sobre rendimentos
account_group_25111,25111,Empréstimos bancários (CORRENTE)
account_group_25112,25112,Empréstimos bancários (NÃO CORRENTE)
account_group_258,258,Outros financiadores
account_group_2581,2581,Corrente
account_group_2582,2582,Não Corrente
account_group_2781,2781,Corrente
account_group_2782,2782,Não Corrente
account_group_2798,2798,Outros devedores e credores
account_group_27981,27981,Corrente
account_group_27982,27982,Não Corrente
account_group_281,281,Gastos a reconhecer
account_group_282,282,Rendimentos a reconhecer
account_group_3,3,INVENTÁRIOS
account_group_38,38,Reclassificação e regularização de inventários
account_group_392,392,"Matérias primas, subsidiárias e de consumo"
account_group_54,54,Prémios de emissão
account_group_58,58,Excedentes de revalorização de ativos fixos tangíveis
account_group_89,89,Dividendos antecipados
