id,active,description,invoice_label,invoice_label@pt,sequence,name,type_tax_use,amount,cash_basis_transition_account_id,l10n_pt_periodic_stat_features,amount_type,tax_group_id,tax_exigibility,pt_vat_country_region,pt_vat_exemption_reason,pt_vat_tax_type,pt_vat_subject,pt_vat_special_regime,l10n_pt_wh_tax_type,l10n_pt_wh_code,l10n_pt_wh_income_type,l10n_pt_wh_income_type_oecd,l10n_pt_wh_taxation_regime,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
account_tax_template_iva_6_aq_extrac_imob_ddp,False,,VAT 6%,IVA 6%,20,IVA 6% AQ. EXTRAC. (Imob.) DDP,purchase,6,,D,percent,tax_group_iva_6,on_invoice,EXTRA,,RED,asset,,,,,,,base,invoice,IVA AL [Q05-L39],,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,invoice,IVA DP [Q06-C20]||IVA AL [Q06-L50],account_snc_common_2432,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,invoice,,account_snc_common_2431,-100
,,,,,,,,,,,,,,,,,,,,,,,,base,refund,IVA DP [N/A],,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,refund,,,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,refund,,,-100
account_tax_template_iva_6_imob,False,,VAT 6%,IVA 6%,10110,IVA 6% (Imob.),sale,6,,,percent,tax_group_iva_6,on_invoice,PT,,RED,asset,,,,,,,base,invoice,IVA DP [Q06-C1] VND||IVA DP [Q06A-C104] R72||IVA AL [Q03-L14],,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,invoice,IVA DP [Q06-C2],account_snc_common_2433,100
,,,,,,,,,,,,,,,,,,,,,,,,base,refund,,,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,refund,IVA DP [Q06-C40],account_snc_common_2434,100
account_tax_template_iva_6_obs,False,,VAT 6%,IVA 6%,10120,IVA 6% (OBS),sale,6,,,percent,tax_group_iva_6,on_invoice,PT,,RED,ogs,,,,,,,base,invoice,IVA DP [Q06-C1] VND||IVA AL [Q03-L07],,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,invoice,IVA DP [Q06-C2],account_snc_common_2433,100
,,,,,,,,,,,,,,,,,,,,,,,,base,refund,,,100
,,,,,,,,,,,,,,,,,,,,,,,,tax,refund,IVA DP [Q06-C40],account_snc_common_2434,100
account_tax_template_iva_6_exist,False,,VAT 6%,IVA 6%,10130,IVA 6% (Exist.),sale,6,,,percent,tax_group_iva_6,on_invoice,PT,,RED,stock,,,,,,,base,invoice,IVA DP [Q06-C1] VND||IVA AL [Q03-L01],,100
