id,name,name@pt,sequence,country_id,l10n_pt_genre
tax_group_iva_0,VAT 0%,IVA 0%,100,base.pt,IVA
tax_group_iva_4,VAT 4%,IVA 4%,104,base.pt,IVA
tax_group_iva_5,VAT 5%,IVA 5%,105,base.pt,IVA
tax_group_iva_6,VAT 6%,IVA 6%,106,base.pt,IVA
tax_group_iva_9,VAT 9%,IVA 9%,109,base.pt,IVA
tax_group_iva_12,VAT 12%,IVA 12%,112,base.pt,IVA
tax_group_iva_13,VAT 13%,IVA 13%,113,base.pt,IVA
tax_group_iva_16,VAT 16%,IVA 16%,116,base.pt,IVA
tax_group_iva_18,VAT 18%,IVA 18%,118,base.pt,IVA
tax_group_iva_22,VAT 22%,IVA 22%,122,base.pt,IVA
tax_group_iva_23,VAT 23%,IVA 23%,123,base.pt,IVA
tax_group_iva_ns,VAT N/A,IVA N/S,199,base.pt,IVA
tax_group_is,SD,IS,200,base.pt,IS
tax_group_rf_ns,WHT N/A,RF N/S,300,base.pt,RF
tax_group_rf_0,WHT 0%,RF 0%,301,base.pt,RF
tax_group_rf_02875,WHT 2.875%,RF 2.875%,301,base.pt,RF
tax_group_rf_04125,WHT 4.125%,RF 4.125%,302,base.pt,RF
tax_group_rf_05000,WHT 5%,RF 5%,303,base.pt,RF
tax_group_rf_05750,WHT 5.75%,RF 5.75%,304,base.pt,RF
tax_group_rf_06250,WHT 6.25%,RF 6.25%,305,base.pt,RF
tax_group_rf_08250,WHT 8.25%,RF 8.25%,306,base.pt,RF
tax_group_rf_10000,WHT 10%,RF 10%,307,base.pt,RF
tax_group_rf_11500,WHT 11.5%,RF 11.5%,308,base.pt,RF
tax_group_rf_12500,WHT 12.5%,RF 12.5%,309,base.pt,RF
tax_group_rf_16500,WHT 16.5%,RF 16.5%,310,base.pt,RF
tax_group_rf_20000,WHT 20%,RF 20%,311,base.pt,RF
tax_group_rf_21500,WHT 21.5%,RF 21.5%,312,base.pt,RF
tax_group_rf_23000,WHT 23.0%,RF 23.0%,313,base.pt,RF
tax_group_rf_25000,WHT 25%,RF 25%,313,base.pt,RF
tax_group_rf_28000,WHT 28%,RF 28%,314,base.pt,RF
tax_group_rf_35000,WHT 35%,RF 35%,315,base.pt,RF
tax_group_eco,Ecovalue,Ecovalor,80,base.pt,ECO
tax_group_iec,SCT,IEC,81,base.pt,IEC
tax_group_ta,AT,TA,400,base.pt,RF
