"id","code","name","depreciation_rate"
"asset_legal_rate_0000","0000","Decreto Regulamentar n.º 25/2009",100.00
"asset_legal_rate_0005","0005","Construções: Construções de tijolo, pedra ou betão",5.00
"asset_legal_rate_0010","0010","Construções: Construções de madeira com fundações de alvenaria",6.66
"asset_legal_rate_0015","0015","Estufas: De estrutura metálica ou de betão ou similares",10.00
"asset_legal_rate_0020","0020","Estufas: De estrutura de madeira",20.00
"asset_legal_rate_0025","0025","Silos",8.33
"asset_legal_rate_0030","0030","Nitreiras e fossas",5.00
"asset_legal_rate_0035","0035","Construções ligeiras (em fibrocimento, madeira, zinco, etc.)",10.00
"asset_legal_rate_0045","0045","Plantações: Oliveiras",4.00
"asset_legal_rate_0050","0050","Plantações: Vinhas",5.00
"asset_legal_rate_0055","0055","Plantações: Amendoeiras, citrinos, figueiras e nogueiras",5.00
"asset_legal_rate_0060","0060","Plantações: Amoreiras, framboesas, groselheiras e pessegueiros",14.28
"asset_legal_rate_0065","0065","Plantações: Outros pomares",10.00
"asset_legal_rate_0075","0075","Equipamentos motorizados: Tratores, ceifeiras-debulhadoras, moto-cultivadores, etc.",16.66
"asset_legal_rate_0090","0090","Equipamentos não motorizados: Arrancadora-carregadora, desbastador, ensiladora e semeador mecânico de precisão",14.28
"asset_legal_rate_0095","0095","Equipamentos não motorizados: Outros equipamentos",12.50
"asset_legal_rate_0100","0100","Equipamentos especializados: Equipamento de rega por aspersão: Barragens e rede primária",3.33
"asset_legal_rate_0105","0105","Equipamentos especializados: Equipamento de rega por aspersão: Rede secundária e canalizações enterradas",5.00
"asset_legal_rate_0110","0110","Equipamentos especializados: Equipamento de rega por aspersão: Restante equipamento",12.50
"asset_legal_rate_0115","0115","Equipamento de ordenha",12.50
"asset_legal_rate_0120","0120","Equipamento de vinificação",12.50
"asset_legal_rate_0125","0125","Melhoramentos fundiários: Subsolagens de efeito duradouro",33.33
"asset_legal_rate_0130","0130","Melhoramentos fundiários: Ripagens e correções de solos de efeito duradouro",20.00
"asset_legal_rate_0135","0135","Melhoramentos fundiários: Barragens de terra batida e charcas",5.00
"asset_legal_rate_0140","0140","Melhoramentos fundiários: Surribas profundas, trabalhos de enxugo ou drenagens, obras de defesa contra inundações, etc",14.28
"asset_legal_rate_0145","0145","Melhoramentos fundiários: Poços e furos",10.00
"asset_legal_rate_0150","0150","Melhoramentos fundiários: Cercas",10.00
"asset_legal_rate_0155","0155","Animais: De trabalho",12.50
"asset_legal_rate_0160","0160","Reprodutores: Suínos",33.33
"asset_legal_rate_0165","0165","Reprodutores: Outros",10.00
"asset_legal_rate_0170","0170","Barcos de pesca: Costeiros (traineiras e outras embarcações cuja arqueação bruta ou calado as caracterize como costeiras)",12.50
"asset_legal_rate_0175","0175","De alto mar: De ferro",7.14
"asset_legal_rate_0180","0180","De alto mar: De madeira",10.00
"asset_legal_rate_0185","0185","Navios-fábricas e navios-frigoríficos",10.00
"asset_legal_rate_0190","0190","Instalações de congelação e conservação",12.50
"asset_legal_rate_0195","0195","Aparelhos localizadores, de telefonia, de radiogoniometria e de radar",20.00
"asset_legal_rate_0200","0200","Apresto de pesca",33.33
"asset_legal_rate_0220","0220","Fornos de ustulação e fundição",20.00
"asset_legal_rate_0225","0225","Equipamento mineiro fixo: De superfície",12.50
"asset_legal_rate_0230","0230","Equipamento mineiro fixo: De subsolo",20.00
"asset_legal_rate_0235","0235","Vias férreas e respetivo material rolante",12.50
"asset_legal_rate_0240","0240","Equipamento móvel sobre rodas ou lagartas",20.00
"asset_legal_rate_0245","0245","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0250","0250","Fornos mecânicos, elétricos, a vapor, etc",12.50
"asset_legal_rate_0255","0255","Fornos a caruma ou a lenha",8.33
"asset_legal_rate_0260","0260","Equipamento mecânico e específico",12.50
"asset_legal_rate_0265","0265","Instalações frigoríficas e de ventilação",12.50
"asset_legal_rate_0270","0270","Silos (Tecido)",25.00
"asset_legal_rate_0275","0275","Silos",5.00
"asset_legal_rate_0280","0280","Depósitos: De cimento",6.66
"asset_legal_rate_0285","0285","Depósitos: De metal",7.14
"asset_legal_rate_0290","0290","Fornos fixos: Elétricos e de combustíveis líquidos ou gasosos",12.50
"asset_legal_rate_0295","0295","Fornos fixos: A lenha ou a carvão",8.33
"asset_legal_rate_0300","0300","Fornos móveis",14.28
"asset_legal_rate_0305","0305","Prensas",6.25
"asset_legal_rate_0310","0310","Torradores: Fixos",12.50
"asset_legal_rate_0315","0315","Torradores: Móveis",14.28
"asset_legal_rate_0320","0320","Maquinaria e instalações industriais de uso específico: De moagem, descasque e polimento de arroz e refinação de óleos vegetais",10.00
"asset_legal_rate_0325","0325","Maquinaria e instalações industriais de uso específico: Conservas de carne, cacau e gelados",14.28
"asset_legal_rate_0330","0330","Maquinaria e instalações industriais de uso específico: Outras indústrias",12.50
"asset_legal_rate_0345","0345","Instalações de captação, poços e depósitos de água",5.00
"asset_legal_rate_0350","0350","Depósitos e tanques para a preparação de misturas e armazenagem: De aço inoxidável",5.00
"asset_legal_rate_0355","0355","Depósitos e tanques para a preparação de misturas e armazenagem: De outros materiais",8.33
"asset_legal_rate_0360","0360","Maquinaria para filtragem, esterilização, engarrafamento e rotulagem: Automáticas e semiautomáticas",12.50
"asset_legal_rate_0365","0365","Maquinaria para filtragem, esterilização, engarrafamento e rotulagem: Não automáticas",10.00
"asset_legal_rate_0370","0370","Maquinaria e instalações de seleção, lavagem, trituração, prensagem e concentração de frutos: Automáticas e semiautomáticas",14.28
