id,reference,code,name,svat_class,expected_balance
taxonomy_base_1,S,1,Caixa,AC,D
taxonomy_base_2,S,2,Depósitos à ordem,APC,S2C
taxonomy_base_3,S,3,Outros depósitos bancários,APC,S2C
taxonomy_base_4,S,4,Outros instrumentos financeiros - Derivados - Potencialmente favoráveis,AC,D
taxonomy_base_5,S,5,Outros instrumentos financeiros - Derivados - Potencialmente desfavoráveis,PC,C
taxonomy_base_6,S,6,Outros instrumentos financeiros - Instrumentos financeiros detidos para negociação - Ativos financeiros,AC,D
taxonomy_base_7,S,7,Outros instrumentos financeiros - Instrumentos financeiros detidos para negociação - Passivos financeiros,PC,C
taxonomy_base_8,S,8,Outros instrumentos financeiros - Outros ativos e passivos financeiros - Outros ativos financeiros,AC,D
taxonomy_base_9,S,9,Outros instrumentos financeiros - Outros ativos e passivos financeiros - Outros passivos financeiros,PC,C
taxonomy_base_10,S,10,Clientes - Clientes c/c - Clientes gerais,APC,S2C
taxonomy_base_11,S,11,Clientes - Clientes c/c - Clientes — empresa -mãe,APC,S2C
taxonomy_base_12,S,12,Clientes - Clientes c/c - Clientes — empresas subsidiárias,APC,S2C
taxonomy_base_13,S,13,Clientes - Clientes c/c - Clientes — empresas associadas,APC,S2C
taxonomy_base_14,S,14,Clientes - Clientes c/c - Clientes — empreendimentos conjuntos,APC,S2C
taxonomy_base_15,S,15,Clientes - Clientes c/c - Clientes — outras partes relacionadas,APC,S2C
taxonomy_base_16,S,16,Clientes - Clientes — títulos a receber - Clientes gerais,APC,S2C
taxonomy_base_17,S,17,Clientes - Clientes — títulos a receber - Clientes — empresa -mãe,APC,S2C
taxonomy_base_18,S,18,Clientes - Clientes — títulos a receber - Clientes — empresas subsidiárias,APC,S2C
taxonomy_base_19,S,19,Clientes - Clientes — títulos a receber - Clientes — empresas associadas,APC,S2C
taxonomy_base_20,S,20,Clientes - Clientes — títulos a receber - Clientes — empreendimentos conjuntos,APC,S2C
taxonomy_base_21,S,21,Clientes - Clientes — títulos a receber - Clientes — outras partes relacionadas,APC,S2C
taxonomy_base_22,S,22,Clientes - Outros Clientes,APC,S2C
taxonomy_base_23,S,23,Clientes - Adiantamentos de clientes,PC,C
taxonomy_base_24,S,24,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes gerais,AC,C
taxonomy_base_25,S,25,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresa -mãe,AC,C
taxonomy_base_26,S,26,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresas subsidiárias,AC,C
taxonomy_base_27,S,27,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresas associadas,AC,C
taxonomy_base_28,S,28,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empreendimentos conjuntos,AC,C
taxonomy_base_29,S,29,Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — outras partes relacionadas,AC,C
taxonomy_base_30,S,30,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes gerais,AC,C
taxonomy_base_31,S,31,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresa -mãe,AC,C
taxonomy_base_32,S,32,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresas subsidiárias,AC,C
taxonomy_base_33,S,33,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresas associadas,AC,C
taxonomy_base_34,S,34,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empreendimentos conjuntos,AC,C
taxonomy_base_35,S,35,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — outras partes relacionadas,AC,C
taxonomy_base_36,S,36,Clientes - Perdas por imparidade acumuladas - Outros Clientes,AC,C
taxonomy_base_37,S,37,Fornecedores - Fornecedores c/c - Fornecedores gerais,APC,S2C
taxonomy_base_38,S,38,Fornecedores - Fornecedores c/c - Fornecedores — empresa -mãe,APC,S2C
taxonomy_base_39,S,39,Fornecedores - Fornecedores c/c - Fornecedores — empresas subsidiárias,APC,S2C
taxonomy_base_40,S,40,Fornecedores - Fornecedores c/c - Fornecedores — empresas associadas,APC,S2C
taxonomy_base_41,S,41,Fornecedores - Fornecedores c/c - Fornecedores — empreendimentos conjuntos,APC,S2C
taxonomy_base_42,S,42,Fornecedores - Fornecedores c/c - Fornecedores — outras partes relacionadas,APC,S2C
taxonomy_base_43,S,43,Fornecedores - Fornecedores — títulos a pagar - Fornecedores gerais,APC,S2C
taxonomy_base_44,S,44,Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empresa -mãe,APC,S2C
taxonomy_base_45,S,45,Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empresas subsidiárias,APC,S2C
taxonomy_base_46,S,46,Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empresas associadas,APC,S2C
taxonomy_base_47,S,47,Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empreendimentos conjuntos,APC,S2C
taxonomy_base_48,S,48,Fornecedores - Fornecedores — títulos a pagar - Fornecedores — outras partes relacionadas,APC,S2C
taxonomy_base_49,S,49,Fornecedores - Outros fornecedores,APC,S2C
taxonomy_base_50,S,50,Fornecedores - Faturas em receção e conferência,APC,S2C
taxonomy_base_51,S,51,Fornecedores - Adiantamentos a fornecedores,AC,D
taxonomy_base_52,S,52,Fornecedores - Perdas por imparidade acumuladas,AC,C
taxonomy_base_53,S,53,Pessoal - Remunerações a pagar - Aos órgãos sociais,PC,C
taxonomy_base_54,S,54,Pessoal - Remunerações a pagar - Ao pessoal,PC,C
taxonomy_base_55,S,55,Pessoal - Adiantamentos - Aos órgãos sociais,AC,D
taxonomy_base_56,S,56,Pessoal - Adiantamentos - Ao pessoal,AC,D
taxonomy_base_57,S,57,Pessoal - Cauções - Dos órgãos sociais - (CORRENTE),PC,C
taxonomy_base_58,S,58,Pessoal - Cauções - Dos órgãos sociais - (NÃO CORRENTE),PNC,C
taxonomy_base_59,S,59,Pessoal - Cauções - Do pessoal - (CORRENTE),PC,C
taxonomy_base_60,S,60,Pessoal - Cauções - Do pessoal - (NÃO CORRENTE),PNC,C
taxonomy_base_61,S,61,Pessoal - Outras operações - Com os órgãos sociais - (CORRENTE),APC,S2C
taxonomy_base_62,S,62,Pessoal - Outras operações - Com os órgãos sociais - (NÃO CORRENTE),APNC,S2C
taxonomy_base_63,S,63,Pessoal - Outras operações - Com o pessoal - (CORRENTE),APC,S2C
taxonomy_base_64,S,64,Pessoal - Outras operações - Com o pessoal - (NÃO CORRENTE),APNC,S2C
taxonomy_base_65,S,65,Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Aos órgãos sociais,AC,C
taxonomy_base_66,S,66,Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Ao pessoal,AC,C
taxonomy_base_67,S,67,Pessoal - Perdas por imparidade acumuladas - Outras operações - Aos órgãos sociais (CORRENTE),AC,C
