id,prefix,taxonomy_id/id
taxonomy_base_1_11_prefix,11,taxonomy_base_1
taxonomy_base_2_12_prefix,12,taxonomy_base_2
taxonomy_base_3_13_prefix,13,taxonomy_base_3
taxonomy_base_4_1411_prefix,1411,taxonomy_base_4
taxonomy_base_5_1412_prefix,1412,taxonomy_base_5
taxonomy_base_6_1421_prefix,1421,taxonomy_base_6
taxonomy_base_7_1422_prefix,1422,taxonomy_base_7
taxonomy_base_8_1431_prefix,1431,taxonomy_base_8
taxonomy_base_9_1432_prefix,1432,taxonomy_base_9
taxonomy_base_10_2111_prefix,2111,taxonomy_base_10
taxonomy_base_10_2117_prefix,2117,taxonomy_base_10
taxonomy_base_10_2118_prefix,2118,taxonomy_base_10
taxonomy_base_10_2119_prefix,2119,taxonomy_base_10
taxonomy_base_11_2112_prefix,2112,taxonomy_base_11
taxonomy_base_12_2113_prefix,2113,taxonomy_base_12
taxonomy_base_13_2114_prefix,2114,taxonomy_base_13
taxonomy_base_14_2115_prefix,2115,taxonomy_base_14
taxonomy_base_15_2116_prefix,2116,taxonomy_base_15
taxonomy_base_16_2121_prefix,2121,taxonomy_base_16
taxonomy_base_16_2127_prefix,2127,taxonomy_base_16
taxonomy_base_16_2128_prefix,2128,taxonomy_base_16
taxonomy_base_16_2129_prefix,2129,taxonomy_base_16
taxonomy_base_17_2122_prefix,2122,taxonomy_base_17
taxonomy_base_18_2123_prefix,2123,taxonomy_base_18
taxonomy_base_19_2124_prefix,2124,taxonomy_base_19
taxonomy_base_20_2125_prefix,2125,taxonomy_base_20
taxonomy_base_21_2126_prefix,2126,taxonomy_base_21
taxonomy_base_22_213_prefix,213,taxonomy_base_22
taxonomy_base_22_214_prefix,214,taxonomy_base_22
taxonomy_base_22_215_prefix,215,taxonomy_base_22
taxonomy_base_22_216_prefix,216,taxonomy_base_22
taxonomy_base_22_217_prefix,217,taxonomy_base_22
taxonomy_base_23_218_prefix,218,taxonomy_base_23
taxonomy_base_24_219_prefix,219,taxonomy_base_24
taxonomy_base_25_219_prefix,219,taxonomy_base_25
taxonomy_base_26_219_prefix,219,taxonomy_base_26
taxonomy_base_27_219_prefix,219,taxonomy_base_27
taxonomy_base_28_219_prefix,219,taxonomy_base_28
taxonomy_base_29_219_prefix,219,taxonomy_base_29
taxonomy_base_30_219_prefix,219,taxonomy_base_30
taxonomy_base_31_219_prefix,219,taxonomy_base_31
taxonomy_base_32_219_prefix,219,taxonomy_base_32
taxonomy_base_33_219_prefix,219,taxonomy_base_33
taxonomy_base_34_219_prefix,219,taxonomy_base_34
taxonomy_base_35_219_prefix,219,taxonomy_base_35
taxonomy_base_36_219_prefix,219,taxonomy_base_36
taxonomy_base_37_2211_prefix,2211,taxonomy_base_37
taxonomy_base_37_2217_prefix,2217,taxonomy_base_37
taxonomy_base_37_2218_prefix,2218,taxonomy_base_37
taxonomy_base_37_2219_prefix,2219,taxonomy_base_37
taxonomy_base_38_2212_prefix,2212,taxonomy_base_38
taxonomy_base_39_2213_prefix,2213,taxonomy_base_39
taxonomy_base_40_2214_prefix,2214,taxonomy_base_40
taxonomy_base_41_2215_prefix,2215,taxonomy_base_41
taxonomy_base_42_2216_prefix,2216,taxonomy_base_42
taxonomy_base_43_2221_prefix,2221,taxonomy_base_43
taxonomy_base_43_2227_prefix,2227,taxonomy_base_43
taxonomy_base_43_2228_prefix,2228,taxonomy_base_43
taxonomy_base_43_2229_prefix,2229,taxonomy_base_43
taxonomy_base_44_2222_prefix,2222,taxonomy_base_44
taxonomy_base_45_2223_prefix,2223,taxonomy_base_45
taxonomy_base_46_2224_prefix,2224,taxonomy_base_46
taxonomy_base_47_2225_prefix,2225,taxonomy_base_47
taxonomy_base_48_2226_prefix,2226,taxonomy_base_48
taxonomy_base_49_223_prefix,223,taxonomy_base_49
taxonomy_base_49_224_prefix,224,taxonomy_base_49
taxonomy_base_49_226_prefix,226,taxonomy_base_49
taxonomy_base_49_227_prefix,227,taxonomy_base_49
taxonomy_base_50_225_prefix,225,taxonomy_base_50
taxonomy_base_51_228_prefix,228,taxonomy_base_51
taxonomy_base_52_229_prefix,229,taxonomy_base_52
taxonomy_base_53_2311_prefix,2311,taxonomy_base_53
taxonomy_base_54_2312_prefix,2312,taxonomy_base_54
taxonomy_base_55_2321_prefix,2321,taxonomy_base_55
taxonomy_base_56_2322_prefix,2322,taxonomy_base_56
taxonomy_base_57_2371_prefix,2371,taxonomy_base_57
taxonomy_base_58_2371_prefix,2371,taxonomy_base_58
taxonomy_base_59_2372_prefix,2372,taxonomy_base_59
taxonomy_base_60_2372_prefix,2372,taxonomy_base_60
taxonomy_base_61_233_prefix,233,taxonomy_base_61
taxonomy_base_61_234_prefix,234,taxonomy_base_61
taxonomy_base_61_235_prefix,235,taxonomy_base_61
taxonomy_base_61_236_prefix,236,taxonomy_base_61
taxonomy_base_61_2381_prefix,2381,taxonomy_base_61
taxonomy_base_62_233_prefix,233,taxonomy_base_62
taxonomy_base_62_234_prefix,234,taxonomy_base_62
taxonomy_base_62_235_prefix,235,taxonomy_base_62
taxonomy_base_62_236_prefix,236,taxonomy_base_62
taxonomy_base_62_2381_prefix,2381,taxonomy_base_62
taxonomy_base_63_233_prefix,233,taxonomy_base_63
taxonomy_base_63_234_prefix,234,taxonomy_base_63
taxonomy_base_63_235_prefix,235,taxonomy_base_63
taxonomy_base_63_236_prefix,236,taxonomy_base_63
taxonomy_base_63_2382_prefix,2382,taxonomy_base_63
taxonomy_base_64_233_prefix,233,taxonomy_base_64
taxonomy_base_64_234_prefix,234,taxonomy_base_64
taxonomy_base_64_235_prefix,235,taxonomy_base_64
taxonomy_base_64_236_prefix,236,taxonomy_base_64
taxonomy_base_64_2382_prefix,2382,taxonomy_base_64
taxonomy_base_65_239_prefix,239,taxonomy_base_65
taxonomy_base_66_239_prefix,239,taxonomy_base_66
taxonomy_base_67_239_prefix,239,taxonomy_base_67
taxonomy_base_68_239_prefix,239,taxonomy_base_68
taxonomy_base_69_239_prefix,239,taxonomy_base_69
taxonomy_base_70_239_prefix,239,taxonomy_base_70
taxonomy_base_71_241_prefix,241,taxonomy_base_71
taxonomy_base_72_242_prefix,242,taxonomy_base_72
taxonomy_base_73_2431_prefix,2431,taxonomy_base_73
taxonomy_base_74_2432_prefix,2432,taxonomy_base_74
taxonomy_base_75_2433_prefix,2433,taxonomy_base_75
taxonomy_base_76_2434_prefix,2434,taxonomy_base_76
taxonomy_base_77_2435_prefix,2435,taxonomy_base_77
taxonomy_base_78_2436_prefix,2436,taxonomy_base_78
taxonomy_base_79_2437_prefix,2437,taxonomy_base_79
taxonomy_base_80_2438_prefix,2438,taxonomy_base_80
taxonomy_base_81_2439_prefix,2439,taxonomy_base_81
taxonomy_base_82_244_prefix,244,taxonomy_base_82
taxonomy_base_83_245_prefix,245,taxonomy_base_83
taxonomy_base_84_246_prefix,246,taxonomy_base_84
taxonomy_base_85_247_prefix,247,taxonomy_base_85
taxonomy_base_85_248_prefix,248,taxonomy_base_85
taxonomy_base_86_2511_prefix,2511,taxonomy_base_86
taxonomy_base_87_2511_prefix,2511,taxonomy_base_87
taxonomy_base_88_2512_prefix,2512,taxonomy_base_88
taxonomy_base_89_2512_prefix,2512,taxonomy_base_89
taxonomy_base_90_2513_prefix,2513,taxonomy_base_90
taxonomy_base_91_2513_prefix,2513,taxonomy_base_91
taxonomy_base_92_2514_prefix,2514,taxonomy_base_92
taxonomy_base_92_2515_prefix,2515,taxonomy_base_92
taxonomy_base_92_2516_prefix,2516,taxonomy_base_92
taxonomy_base_92_2517_prefix,2517,taxonomy_base_92
taxonomy_base_92_2518_prefix,2518,taxonomy_base_92
taxonomy_base_92_2519_prefix,2519,taxonomy_base_92
taxonomy_base_93_2514_prefix,2514,taxonomy_base_93
taxonomy_base_93_2515_prefix,2515,taxonomy_base_93
taxonomy_base_93_2516_prefix,2516,taxonomy_base_93
taxonomy_base_93_2517_prefix,2517,taxonomy_base_93
taxonomy_base_93_2518_prefix,2518,taxonomy_base_93
taxonomy_base_93_2519_prefix,2519,taxonomy_base_93
taxonomy_base_94_2521_prefix,2521,taxonomy_base_94
taxonomy_base_95_2521_prefix,2521,taxonomy_base_95
taxonomy_base_96_2522_prefix,2522,taxonomy_base_96
taxonomy_base_96_2523_prefix,2523,taxonomy_base_96
taxonomy_base_96_2524_prefix,2524,taxonomy_base_96
taxonomy_base_96_2525_prefix,2525,taxonomy_base_96
taxonomy_base_96_2526_prefix,2526,taxonomy_base_96
taxonomy_base_96_2527_prefix,2527,taxonomy_base_96
taxonomy_base_96_2528_prefix,2528,taxonomy_base_96
taxonomy_base_96_2529_prefix,2529,taxonomy_base_96
taxonomy_base_97_2522_prefix,2522,taxonomy_base_97
taxonomy_base_97_2523_prefix,2523,taxonomy_base_97
taxonomy_base_97_2524_prefix,2524,taxonomy_base_97
taxonomy_base_97_2525_prefix,2525,taxonomy_base_97
taxonomy_base_97_2526_prefix,2526,taxonomy_base_97
taxonomy_base_97_2527_prefix,2527,taxonomy_base_97
taxonomy_base_97_2528_prefix,2528,taxonomy_base_97
taxonomy_base_97_2529_prefix,2529,taxonomy_base_97
taxonomy_base_98_2531_prefix,2531,taxonomy_base_98
taxonomy_base_99_2531_prefix,2531,taxonomy_base_99
taxonomy_base_100_2532_prefix,2532,taxonomy_base_100
taxonomy_base_100_2533_prefix,2533,taxonomy_base_100
taxonomy_base_100_2534_prefix,2534,taxonomy_base_100
taxonomy_base_100_2535_prefix,2535,taxonomy_base_100
taxonomy_base_100_2536_prefix,2536,taxonomy_base_100
taxonomy_base_100_2537_prefix,2537,taxonomy_base_100
taxonomy_base_100_2538_prefix,2538,taxonomy_base_100
taxonomy_base_100_2539_prefix,2539,taxonomy_base_100
taxonomy_base_101_2532_prefix,2532,taxonomy_base_101
taxonomy_base_101_2533_prefix,2533,taxonomy_base_101
taxonomy_base_101_2534_prefix,2534,taxonomy_base_101
taxonomy_base_101_2535_prefix,2535,taxonomy_base_101
taxonomy_base_101_2536_prefix,2536,taxonomy_base_101
taxonomy_base_101_2537_prefix,2537,taxonomy_base_101
taxonomy_base_101_2538_prefix,2538,taxonomy_base_101
taxonomy_base_101_2539_prefix,2539,taxonomy_base_101
taxonomy_base_102_254_prefix,254,taxonomy_base_102
taxonomy_base_103_254_prefix,254,taxonomy_base_103
taxonomy_base_104_255_prefix,255,taxonomy_base_104
taxonomy_base_104_256_prefix,256,taxonomy_base_104
taxonomy_base_104_257_prefix,257,taxonomy_base_104
taxonomy_base_104_258_prefix,258,taxonomy_base_104
taxonomy_base_105_255_prefix,255,taxonomy_base_105
taxonomy_base_105_256_prefix,256,taxonomy_base_105
taxonomy_base_105_257_prefix,257,taxonomy_base_105
taxonomy_base_105_258_prefix,258,taxonomy_base_105
taxonomy_base_106_261_prefix,261,taxonomy_base_106
taxonomy_base_107_262_prefix,262,taxonomy_base_107
taxonomy_base_108_263_prefix,263,taxonomy_base_108
taxonomy_base_109_264_prefix,264,taxonomy_base_109
taxonomy_base_110_265_prefix,265,taxonomy_base_110
taxonomy_base_111_266_prefix,266,taxonomy_base_111
taxonomy_base_112_266_prefix,266,taxonomy_base_112
taxonomy_base_113_267_prefix,267,taxonomy_base_113
taxonomy_base_113_268_prefix,268,taxonomy_base_113
