id,code,name
hr_tax_office_19,19,AGUEDA
hr_tax_office_27,27,ALBERGARIA-A-VELHA
hr_tax_office_35,35,ANADIA
hr_tax_office_43,43,AROUCA
hr_tax_office_51,51,AVEIRO-1.
hr_tax_office_60,60,CASTELO DE PAIVA
hr_tax_office_78,78,ESPINHO
hr_tax_office_86,86,ESTARREJA
hr_tax_office_94,94,FEIRA-1
hr_tax_office_108,108,ILHAVO
hr_tax_office_116,116,MEALHADA
hr_tax_office_124,124,MURTOSA
hr_tax_office_132,132,OLIVEIRA AZEMEIS
hr_tax_office_140,140,OLIVEIRA DO BAIRRO
hr_tax_office_159,159,OVAR
hr_tax_office_167,167,S. JOAO DA MADEIRA
hr_tax_office_175,175,SEVER DO VOUGA
hr_tax_office_183,183,VAGOS
hr_tax_office_191,191,VALE DE CAMBRA
hr_tax_office_205,205,ALJUSTREL
hr_tax_office_213,213,ALMODOVAR
hr_tax_office_221,221,ALVITO
hr_tax_office_230,230,BARRANCOS
hr_tax_office_248,248,BEJA
hr_tax_office_256,256,CASTRO VERDE
hr_tax_office_264,264,CUBA
hr_tax_office_272,272,FERREIRA DO ALENTEJO
hr_tax_office_280,280,MERTOLA
hr_tax_office_299,299,MOURA
hr_tax_office_302,302,ODEMIRA
hr_tax_office_310,310,OURIQUE
hr_tax_office_329,329,SERPA
hr_tax_office_337,337,VIDIGUEIRA
hr_tax_office_345,345,AMARES
hr_tax_office_353,353,BARCELOS
hr_tax_office_361,361,BRAGA-1.
hr_tax_office_370,370,CABECEIRAS DE BASTO
hr_tax_office_388,388,CELORICO DE BASTO
hr_tax_office_396,396,ESPOSENDE
hr_tax_office_400,400,FAFE
hr_tax_office_418,418,GUIMARAES-1.
hr_tax_office_426,426,POVOA DE LANHOSO
hr_tax_office_434,434,TERRAS DE BOURO
hr_tax_office_442,442,VIEIRA DO MINHO
hr_tax_office_450,450,VILA N.FAMALICAO-1.
hr_tax_office_469,469,VILA VERDE
hr_tax_office_477,477,ALFANDEGA DA FE
hr_tax_office_485,485,BRAGANCA
hr_tax_office_493,493,CARRAZEDA DE ANSIAES
hr_tax_office_507,507,FR DE ESPADA A CINTA
hr_tax_office_515,515,MACEDO DE CAVALEIROS
hr_tax_office_523,523,MIRANDA DO DOURO
hr_tax_office_531,531,MIRANDELA
hr_tax_office_540,540,MOGADOURO
hr_tax_office_558,558,TORRE DE MONCORVO
hr_tax_office_566,566,VILA FLOR
hr_tax_office_574,574,VIMIOSO
hr_tax_office_582,582,VINHAIS
hr_tax_office_590,590,BELMONTE
hr_tax_office_604,604,CASTELO BRANCO-1.
hr_tax_office_612,612,COVILHA
hr_tax_office_620,620,FUNDAO
hr_tax_office_639,639,IDANHA-A-NOVA
hr_tax_office_647,647,OLEIROS
hr_tax_office_655,655,PENAMACOR
hr_tax_office_663,663,PROENCA-A-NOVA
hr_tax_office_671,671,SERTA
hr_tax_office_680,680,VILA DE REI
hr_tax_office_698,698,VILA VELHA DE RODAO
hr_tax_office_701,701,ARGANIL
hr_tax_office_710,710,CANTANHEDE
hr_tax_office_728,728,COIMBRA-1.
hr_tax_office_736,736,CONDEIXA-A-NOVA
hr_tax_office_744,744,FIGUEIRA DA FOZ-1.
hr_tax_office_752,752,GOIS
hr_tax_office_760,760,LOUSA
hr_tax_office_779,779,MIRA
hr_tax_office_787,787,MIRANDA DO CORVO
hr_tax_office_795,795,MONTEMOR-O-VELHO
hr_tax_office_809,809,OLIVEIRA DO HOSPITAL
hr_tax_office_817,817,PAMPILHOSA DA SERRA
hr_tax_office_825,825,PENACOVA
hr_tax_office_833,833,PENELA
hr_tax_office_841,841,VILA NOVA DE POIARES
hr_tax_office_850,850,SOURE
hr_tax_office_868,868,TABUA
hr_tax_office_876,876,ALANDROAL
hr_tax_office_884,884,ARRAIOLOS
hr_tax_office_892,892,BORBA
hr_tax_office_906,906,ESTREMOZ
hr_tax_office_914,914,EVORA
hr_tax_office_922,922,MONTEMOR-O-NOVO
hr_tax_office_930,930,MORA
hr_tax_office_949,949,MOURAO
hr_tax_office_957,957,PORTEL
hr_tax_office_965,965,REDONDO
hr_tax_office_973,973,REGUENGOS DE MONSARAZ
hr_tax_office_981,981,VIANA DO ALENTEJO
hr_tax_office_990,990,VILA VICOSA
hr_tax_office_1007,1007,ALBUFEIRA
hr_tax_office_1015,1015,ALCOUTIM
hr_tax_office_1023,1023,ALJEZUR
hr_tax_office_1031,1031,S.BRAS DE ALPORTEL
hr_tax_office_1040,1040,CASTRO MARIM
hr_tax_office_1058,1058,FARO
hr_tax_office_1066,1066,LAGOA (ALGARVE)
hr_tax_office_1074,1074,LAGOS
hr_tax_office_1082,1082,LOULE-1
hr_tax_office_1090,1090,MONCHIQUE
hr_tax_office_1104,1104,OLHAO
hr_tax_office_1112,1112,PORTIMAO
hr_tax_office_1120,1120,SILVES
hr_tax_office_1139,1139,TAVIRA
hr_tax_office_1147,1147,VILA DO BISPO
hr_tax_office_1155,1155,VILA REAL S.ANTONIO
hr_tax_office_1163,1163,AGUIAR DA BEIRA
hr_tax_office_1171,1171,ALMEIDA
hr_tax_office_1180,1180,CELORICO DA BEIRA
hr_tax_office_1198,1198,FIG. CASTELO RODRIGO
hr_tax_office_1201,1201,FORNOS DE ALGODRES
hr_tax_office_1210,1210,GOUVEIA
hr_tax_office_1228,1228,GUARDA
hr_tax_office_1236,1236,MANTEIGAS
hr_tax_office_1244,1244,MEDA
hr_tax_office_1252,1252,PINHEL
hr_tax_office_1260,1260,SABUGAL
hr_tax_office_1279,1279,SEIA
hr_tax_office_1287,1287,TRANCOSO
hr_tax_office_1295,1295,VILA NOVA DE FOZ COA
hr_tax_office_1309,1309,ALCOBACA
hr_tax_office_1317,1317,ALVAIAZERE
hr_tax_office_1325,1325,ANSIAO
hr_tax_office_1333,1333,BATALHA
hr_tax_office_1341,1341,BOMBARRAL
hr_tax_office_1350,1350,CALDAS DA RAINHA
hr_tax_office_1368,1368,CASTANHEIRA DE PERA
hr_tax_office_1376,1376,FIGUEIRO DOS VINHOS
hr_tax_office_1384,1384,LEIRIA-1.
hr_tax_office_1392,1392,MARINHA GRANDE
hr_tax_office_1406,1406,NAZARE
hr_tax_office_1414,1414,OBIDOS
hr_tax_office_1422,1422,PEDROGAO GRANDE
hr_tax_office_1430,1430,PENICHE
hr_tax_office_1449,1449,POMBAL
hr_tax_office_1457,1457,PORTO DE MOS
hr_tax_office_1465,1465,ALENQUER
hr_tax_office_1473,1473,ARRUDA DOS VINHOS
hr_tax_office_1481,1481,AZAMBUJA
hr_tax_office_1490,1490,CADAVAL
hr_tax_office_1503,1503,CASCAIS-1.
hr_tax_office_1520,1520,LOURES-1
hr_tax_office_1538,1538,LOURINHA
hr_tax_office_1546,1546,MAFRA
hr_tax_office_1554,1554,OEIRAS-1.
hr_tax_office_1562,1562,SINTRA-1
hr_tax_office_1570,1570,SOBRAL MONTE AGRACO
hr_tax_office_1589,1589,TORRES VEDRAS
hr_tax_office_1597,1597,VILA FRANCA XIRA-1
hr_tax_office_1600,1600,ALTER DO CHAO
hr_tax_office_1619,1619,ARRONCHES
hr_tax_office_1627,1627,AVIS
